Date,bSess 2018,bSess 2019
2019-01-01,351,404
2019-01-02,591,240
2019-01-03,740,232
2019-01-04,626,421
2019-01-05,492,395
2019-01-06,350,450
2019-01-07,359,434
2019-01-08,602,442
2019-01-09,557,245
2019-01-10,625,251
2019-01-11,664,408
2019-01-12,478,453
2019-01-13,317,467
2019-01-14,346,435
2019-01-15,471,420
2019-01-16,507,289
2019-01-17,596,248
2019-01-18,597,392
2019-01-19,428,490
2019-01-20,305,488
2019-01-21,291,501
2019-01-22,481,445
2019-01-23,452,361
2019-01-24,573,250
2019-01-25,530,474
2019-01-26,365,492
2019-01-27,269,516
2019-01-28,242,525
2019-01-29,461,464
2019-01-30,437,298
2019-01-31,519,312
2019-02-01,497,518
2019-02-02,394,519
2019-02-03,238,561
2019-02-04,229,583
2019-02-05,433,508
2019-02-06,415,299
2019-02-07,540,253
2019-02-08,507,509
2019-02-09,353,479
2019-02-10,269,543
2019-02-11,238,515
2019-02-12,374,459
2019-02-13,387,326
2019-02-14,504,259
2019-02-15,501,553
2019-02-16,384,557
2019-02-17,236,511
2019-02-18,217,539
2019-02-19,343,493
2019-02-20,400,287
2019-02-21,469,260
2019-02-22,487,527
2019-02-23,394,543
2019-02-24,295,560
2019-02-25,251,532
2019-02-26,432,543
2019-02-27,412,317
2019-02-28,493,323
2019-03-01,533,604
2019-03-02,371,549
2019-03-03,248,562
2019-03-04,272,574
2019-03-05,436,635
2019-03-06,432,353
2019-03-07,448,404
2019-03-08,493,664
2019-03-09,467,618
2019-03-10,294,596
2019-03-11,274,629
2019-03-12,441,586
2019-03-13,476,314
2019-03-14,455,340
2019-03-15,482,594
2019-03-16,398,591
2019-03-17,278,660
2019-03-18,261,610
2019-03-19,496,546
2019-03-20,468,326
2019-03-21,520,305
2019-03-22,476,580
2019-03-23,400,603
2019-03-24,290,582
2019-03-25,266,634
2019-03-26,460,593
2019-03-27,440,342
2019-03-28,485,357
2019-03-29,501,580
2019-03-30,349,570
2019-03-31,250,556
2019-04-01,248,582
2019-04-02,439,567
2019-04-03,472,333
2019-04-04,510,373
2019-04-05,532,586
2019-04-06,408,551
2019-04-07,324,617
2019-04-08,293,651
2019-04-09,480,561
2019-04-10,465,379
2019-04-11,527,310
2019-04-12,525,561
2019-04-13,437,570
2019-04-14,272,605
2019-04-15,257,592
2019-04-16,455,551
2019-04-17,473,358
2019-04-18,473,339
2019-04-19,514,544
2019-04-20,420,568
2019-04-21,311,597
2019-04-22,261,544
2019-04-23,461,504
2019-04-24,410,326
2019-04-25,464,293
2019-04-26,507,314
2019-04-27,415,550
2019-04-28,262,598
2019-04-29,261,525
2019-04-30,476,582
