Day Index, Revenue 
1/1/2017," 27,233.77 "
1/2/2017," 46,649.77 "
1/3/2017," 59,315.26 "
1/4/2017," 49,357.34 "
1/5/2017," 42,673.26 "
1/6/2017," 33,014.52 "
1/7/2017," 24,007.53 "
1/8/2017," 24,372.90 "
1/9/2017," 40,205.74 "
1/10/2017," 38,017.96 "
1/11/2017," 38,022.47 "
1/12/2017," 34,376.60 "
1/13/2017," 28,982.37 "
1/14/2017," 22,480.58 "
1/15/2017," 22,154.94 "
1/16/2017," 30,807.11 "
1/17/2017," 30,993.57 "
1/18/2017," 29,586.07 "
1/19/2017," 28,840.69 "
1/20/2017," 23,896.38 "
1/21/2017," 15,303.82 "
1/22/2017," 21,612.82 "
1/23/2017," 33,925.98 "
1/24/2017," 37,677.54 "
1/25/2017," 28,604.89 "
1/26/2017," 25,207.06 "
1/27/2017," 25,127.23 "
1/28/2017," 16,686.21 "
1/29/2017," 20,437.36 "
1/30/2017," 34,377.95 "
1/31/2017," 38,168.70 "
2/1/2017," 36,982.38 "
2/2/2017," 35,278.24 "
2/3/2017," 36,553.48 "
2/4/2017," 25,714.68 "
2/5/2017," 22,459.80 "
2/6/2017," 41,095.74 "
2/7/2017," 46,837.75 "
2/8/2017," 51,417.38 "
2/9/2017," 52,894.87 "
2/10/2017," 46,061.31 "
2/11/2017," 34,593.10 "
2/12/2017," 39,703.79 "
2/13/2017," 49,267.73 "
2/14/2017," 35,608.81 "
2/15/2017," 29,902.13 "
2/16/2017," 22,217.17 "
2/17/2017," 19,899.66 "
2/18/2017," 13,693.53 "
2/19/2017," 14,430.91 "
2/20/2017," 22,810.95 "
2/21/2017," 25,639.66 "
2/22/2017," 27,167.89 "
2/23/2017," 26,300.31 "
2/24/2017," 19,144.13 "
2/25/2017," 14,511.04 "
2/26/2017," 16,599.99 "
2/27/2017," 31,815.40 "
2/28/2017," 25,512.43 "
3/1/2017," 29,671.72 "
3/2/2017," 31,550.74 "
3/3/2017," 24,070.46 "
3/4/2017," 20,137.63 "
3/5/2017," 20,214.03 "
3/6/2017," 32,590.28 "
3/7/2017," 35,834.11 "
3/8/2017," 31,763.10 "
3/9/2017," 27,289.32 "
3/10/2017," 24,931.58 "
3/11/2017," 14,050.87 "
3/12/2017," 18,005.65 "
3/13/2017," 24,882.40 "
3/14/2017," 27,932.90 "
3/15/2017," 30,303.90 "
3/16/2017," 27,020.52 "
