Date,sess 2018,sess 2019
2019-01-01,7674,5088
2019-01-02,10048,7835
2019-01-03,11535,8694
2019-01-04,11451,7532
2019-01-05,9712,6164
2019-01-06,8418,6304
2019-01-07,8320,8263
2019-01-08,10035,7997
2019-01-09,10319,8397
2019-01-10,11071,8787
2019-01-11,10791,8158
2019-01-12,9668,6353
2019-01-13,8160,6452
2019-01-14,8368,8604
2019-01-15,9989,8365
2019-01-16,10089,8802
2019-01-17,11150,9083
2019-01-18,11048,7859
2019-01-19,9657,6316
2019-01-20,8334,6403
2019-01-21,8606,8026
2019-01-22,10343,8607
2019-01-23,10266,8857
2019-01-24,11235,9382
2019-01-25,10870,8208
2019-01-26,9574,6578
2019-01-27,8049,6866
2019-01-28,8369,8597
2019-01-29,10434,8489
2019-01-30,10228,8656
2019-01-31,10725,8898
2019-02-01,11147,7935
2019-02-02,9628,6446
2019-02-03,8191,6091
2019-02-04,7346,8992
2019-02-05,10189,8960
2019-02-06,10207,9323
2019-02-07,11540,9599
2019-02-08,11047,9141
2019-02-09,9698,7168
2019-02-10,8172,7265
2019-02-11,8591,9124
2019-02-12,10514,8778
2019-02-13,10291,8999
2019-02-14,10384,8576
2019-02-15,10981,8616
2019-02-16,9486,6920
2019-02-17,8094,6969
2019-02-18,8325,8767
2019-02-19,10127,8974
2019-02-20,10269,9234
2019-02-21,10962,9724
2019-02-22,11271,8870
2019-02-23,9845,7052
2019-02-24,8352,7142
2019-02-25,8720,9424
2019-02-26,10519,9545
2019-02-27,10495,9454
2019-02-28,10507,9678
2019-03-01,11349,9112
2019-03-02,9131,7165
2019-03-03,7469,7226
2019-03-04,7888,9463
2019-03-05,10124,9788
2019-03-06,9529,9997
2019-03-07,9632,10533
2019-03-08,10384,9003
2019-03-09,9616,7147
2019-03-10,7370,7205
2019-03-11,7423,10062
2019-03-12,9923,9702
2019-03-13,9699,9851
2019-03-14,10221,9977
2019-03-15,10488,9361
2019-03-16,8811,7484
2019-03-17,7095,7573
2019-03-18,7417,10190
2019-03-19,10100,10536
2019-03-20,9936,10467
2019-03-21,10583,10889
2019-03-22,10749,10306
2019-03-23,9041,7641
2019-03-24,7271,8665
2019-03-25,7600,10844
2019-03-26,9800,10772
2019-03-27,9786,11318
2019-03-28,10224,11002
2019-03-29,10184,10508
2019-03-30,8261,8004
2019-03-31,6766,8908
2019-04-01,6169,11569
2019-04-02,9895,11757
2019-04-03,10015,11542
2019-04-04,11048,11775
2019-04-05,11060,11250
2019-04-06,9584,8581
2019-04-07,8019,9186
2019-04-08,7845,12173
2019-04-09,10270,12089
2019-04-10,9870,12078
2019-04-11,10249,12450
2019-04-12,10594,11105
2019-04-13,8563,8537
2019-04-14,7181,9200
2019-04-15,7665,11845
2019-04-16,9807,12039
2019-04-17,9505,12188
2019-04-18,10248,12275
2019-04-19,10898,10871
2019-04-20,8983,8161
2019-04-21,7001,7804
2019-04-22,7113,12424
2019-04-23,9710,12398
2019-04-24,9277,12590
2019-04-25,9572,12996
2019-04-26,9830,11779
2019-04-27,8175,8606
2019-04-28,6466,9297
2019-04-29,6837,12596
2019-04-30,9292,12357
2019-05-01,8714,12415
2019-05-02,9254,12795
2019-05-03,9704,11971
2019-05-04,8172,8748
2019-05-05,6266,9408
2019-05-06,6659,12361
2019-05-07,9564,13855
2019-05-08,8472,13549
2019-05-09,8813,13250
2019-05-10,9314,12106
2019-05-11,7710,9341
2019-05-12,5524,8797
2019-05-13,5220,13163
2019-05-14,8253,13176
2019-05-15,7900,13455
2019-05-16,8293,13382
2019-05-17,8849,12430
2019-05-18,7279,9166
2019-05-19,5465,10156
2019-05-20,5637,13496
2019-05-21,7847,13966
2019-05-22,7767,14177
2019-05-23,7857,14047
2019-05-24,8121,12389
2019-05-25,6678,9513
2019-05-26,5357,9804
2019-05-27,5475,10217
2019-05-28,6099,17038
2019-05-29,7989,16391
2019-05-30,8332,14867
2019-05-31,8752,13529
2019-06-01,7542,10230
2019-06-02,5881,11118
2019-06-03,6207,14502
2019-06-04,8205,14291
2019-06-05,7832,13786
2019-06-06,8296,14284
2019-06-07,7917,13884
2019-06-08,7696,10473
2019-06-09,6317,11283
2019-06-10,6389,14836
2019-06-11,8576,13908
2019-06-12,8359,15177
2019-06-13,8505,15498
2019-06-14,8633,13063
2019-06-15,7308,10417
2019-06-16,5543,10911
2019-06-17,5460,14906
2019-06-18,8159,15181
2019-06-19,8226,15308
2019-06-20,8321,15698
2019-06-21,8080,13589
2019-06-22,7882,10410
2019-06-23,6023,11385
2019-06-24,6068,14889
2019-06-25,7899,14611
2019-06-26,8125,14559
2019-06-27,8460,14589
2019-06-28,8632,13576
2019-06-29,7284,10513
2019-06-30,5472,11263
2019-07-01,5768,14774
2019-07-02,8021,14205
2019-07-03,7181,13604
2019-07-04,5833,9473
2019-07-05,8714,12045
2019-07-06,7688,10480
2019-07-07,6012,11579
2019-07-08,6188,15700
2019-07-09,8407,15881
2019-07-10,8343,16572
2019-07-11,8485,16182
2019-07-12,8404,15223
2019-07-13,7318,12018
2019-07-14,5997,12445
2019-07-15,6120,15927
2019-07-16,8562,15630
2019-07-17,8464,15280
2019-07-18,8540,17263
2019-07-19,9004,15625
2019-07-20,7688,12859
2019-07-21,5920,13281
2019-07-22,6131,17354
2019-07-23,8491,16769
2019-07-24,7930,17025
2019-07-25,8328,17026
2019-07-26,8569,15295
2019-07-27,7639,12630
2019-07-28,5696,13310
2019-07-29,5895,17412
2019-07-30,8335,17109
2019-07-31,7919,17343
2019-08-01,8149,17055
2019-08-02,8700,15618
2019-08-03,7559,12907
2019-08-04,5763,13300
2019-08-05,5859,17381
2019-08-06,7871,17473
2019-08-07,7591,17471
2019-08-08,7934,17852
2019-08-09,8331,15860
2019-08-10,6807,12811
2019-08-11,5301,13594
2019-08-12,5682,17906
2019-08-13,7891,17454
2019-08-14,7434,17429
2019-08-15,7598,17354
2019-08-16,7854,15922
2019-08-17,7429,13091
2019-08-18,5471,13858
2019-08-19,5652,17782
2019-08-20,7744,17022
2019-08-21,7355,17612
2019-08-22,7852,17821
2019-08-23,8271,16360
2019-08-24,6855,13560
2019-08-25,5084,14147
