Date,RCh 2018,RCh 2019
12/1/2018,18,12
12/2/2018,19,12
12/3/2018,18,18
12/4/2018,20,23
12/5/2018,15,18
12/6/2018,9,24
12/7/2018,8,26
12/8/2018,6,15
12/9/2018,26,13
12/10/2018,19,20
12/11/2018,16,20
12/12/2018,18,27
12/13/2018,9,21
12/14/2018,10,15
12/15/2018,13,7
12/16/2018,17,13
12/17/2018,19,22
12/18/2018,21,21
12/19/2018,26,32
12/20/2018,17,17
12/21/2018,15,18
12/22/2018,23,7
12/23/2018,16,9
12/24/2018,23,5
12/25/2018,25,7
12/26/2018,22,14
12/27/2018,13,18
12/28/2018,15,11
12/29/2018,21,11
12/30/2018,30,7
12/31/2018,21,6
1/1/2019,25,9
1/2/2019,27,21
1/3/2019,18,28
1/4/2019,10,12
1/5/2019,20,8
1/6/2019,22,6
1/7/2019,24,19
1/8/2019,21,19
1/9/2019,17,15
1/10/2019,11,19
1/11/2019,10,22
1/12/2019,15,13
1/13/2019,22,9
1/14/2019,22,11
1/15/2019,24,22
1/16/2019,27,13
1/17/2019,10,26
1/18/2019,12,13
1/19/2019,15,11
1/20/2019,20,8
1/21/2019,21,13
1/22/2019,21,16
1/23/2019,19,21
1/24/2019,10,25
1/25/2019,7,32
1/26/2019,17,20
1/27/2019,20,15
1/28/2019,15,17
1/29/2019,28,16
1/30/2019,32,20
1/31/2019,18,25
2/1/2019,10,23
2/2/2019,15,13
2/3/2019,21,8
2/4/2019,18,18
2/5/2019,24,25
2/6/2019,17,24
2/7/2019,10,26
2/8/2019,12,23
2/9/2019,33,18
2/10/2019,25,14
2/11/2019,25,19
2/12/2019,25,26
2/13/2019,22,22
2/14/2019,14,18
2/15/2019,10,14
2/16/2019,19,22
2/17/2019,17,9
2/18/2019,20,23
2/19/2019,19,27
2/20/2019,17,27
2/21/2019,12,13
2/22/2019,5,17
2/23/2019,18,11
2/24/2019,25,6
2/25/2019,16,21
2/26/2019,3,26
2/27/2019,11,18
2/28/2019,12,18
3/1/2019,11,24
3/2/2019,14,15
3/3/2019,22,12
3/4/2019,24,17
3/5/2019,22,28
3/6/2019,18,24
3/7/2019,12,13
3/8/2019,12,19
3/9/2019,18,12
3/10/2019,23,12
3/11/2019,18,23
3/12/2019,24,29
3/13/2019,26,35
3/14/2019,15,17
3/15/2019,13,19
3/16/2019,20,22
3/17/2019,20,13
3/18/2019,27,18
3/19/2019,21,19
3/20/2019,15,25
3/21/2019,7,25
3/22/2019,13,16
3/23/2019,22,15
3/24/2019,21,14
3/25/2019,32,19
3/26/2019,17,18
3/27/2019,18,24
3/28/2019,7,18
3/29/2019,9,13
3/30/2019,5,14
3/31/2019,7,14
4/1/2019,14,18
4/2/2019,18,11
4/3/2019,11,25
4/4/2019,11,29
4/5/2019,7,19
4/6/2019,6,14
4/7/2019,9,16
4/8/2019,21,31
4/9/2019,28,21
4/10/2019,12,21
4/11/2019,8,27
4/12/2019,6,20
4/13/2019,19,13
4/14/2019,19,9
4/15/2019,15,18
4/16/2019,19,31
4/17/2019,22,10
4/18/2019,13,21
4/19/2019,9,13
4/20/2019,11,15
4/21/2019,22,13
4/22/2019,13,19
4/23/2019,26,30
4/24/2019,13,22
4/25/2019,11,22
4/26/2019,8,20
4/27/2019,13,8
4/28/2019,16,7
4/29/2019,21,13
4/30/2019,25,28
5/1/2019,32,20
5/2/2019,20,18
5/3/2019,15,23
5/4/2019,17,11
5/5/2019,16,10
5/6/2019,20,30
5/7/2019,25,22
5/8/2019,23,23
5/9/2019,13,20
5/10/2019,8,29
5/11/2019,18,10
5/12/2019,25,9
5/13/2019,24,28
5/14/2019,26,23
5/15/2019,23,16
5/16/2019,18,17
5/17/2019,14,15
5/18/2019,19,13
5/19/2019,26,12
5/20/2019,22,23
5/21/2019,18,22
5/22/2019,14,23
5/23/2019,22,18
5/24/2019,9,20
5/25/2019,23,11
5/26/2019,27,14
5/27/2019,27,14
5/28/2019,13,25
5/29/2019,17,30
5/30/2019,11,28
5/31/2019,6,20
6/1/2019,21,9
6/2/2019,26,16
6/3/2019,18,17
6/4/2019,18,13
6/5/2019,24,21
6/6/2019,15,21
6/7/2019,12,17
6/8/2019,17,16
6/9/2019,28,14
6/10/2019,24,28
6/11/2019,13,21
6/12/2019,19,28
6/13/2019,12,20
6/14/2019,12,23
6/15/2019,23,4
6/16/2019,29,12
6/17/2019,35,25
6/18/2019,17,19
6/19/2019,19,20
6/20/2019,22,22
6/21/2019,13,22
6/22/2019,18,16
6/23/2019,19,5
6/24/2019,25,24
6/25/2019,25,22
6/26/2019,16,23
6/27/2019,15,23
6/28/2019,14,12
6/29/2019,19,9
6/30/2019,18,9
7/1/2019,24,22
7/2/2019,18,13
7/3/2019,13,12
7/4/2019,14,8
7/5/2019,14,16
7/6/2019,18,9
7/7/2019,11,11
7/8/2019,25,25
7/9/2019,29,18
7/10/2019,19,19
7/11/2019,14,19
7/12/2019,16,18
7/13/2019,31,9
7/14/2019,21,6
7/15/2019,21,11
7/16/2019,27,24
7/17/2019,20,24
7/18/2019,13,20
7/19/2019,9,22
7/20/2019,18,6
7/21/2019,31,6
7/22/2019,10,25
7/23/2019,21,23
7/24/2019,13,19
7/25/2019,15,17
7/26/2019,13,13
7/27/2019,19,7
7/28/2019,30,11
7/29/2019,22,13
7/30/2019,22,19
7/31/2019,20,22
8/1/2019,8,20
8/2/2019,7,18
8/3/2019,13,16
8/4/2019,28,12
8/5/2019,20,18
8/6/2019,18,20
8/7/2019,23,3
8/8/2019,11,25
8/9/2019,10,17
8/10/2019,30,11
8/11/2019,22,10
8/12/2019,23,21
8/13/2019,20,22
8/14/2019,29,27
8/15/2019,10,25
8/16/2019,9,18
8/17/2019,28,13
8/18/2019,23,15
